11 55
Digital Genesis 54
Digital Yggdrasil 45
Digital Metropolis 153
Digital Cosmos 80
Digital Atom 239
Digital Speed 239
Digital Aethelberht 281
Digital Virtual 11
Digital Seraphina 128
Digital Terra 248
Genesis Yggdrasil 279
Genesis Metropolis 56
Genesis Cosmos 297
Genesis Atom 105
Genesis Speed 149
Genesis Aethelberht 246
Genesis Virtual 47
Genesis Seraphina 127
Genesis Terra 192
Yggdrasil Metropolis 200
Yggdrasil Cosmos 71
Yggdrasil Atom 282
Yggdrasil Speed 252
Yggdrasil Aethelberht 126
Yggdrasil Virtual 100
Yggdrasil Seraphina 234
Yggdrasil Terra 42
Metropolis Cosmos 108
Metropolis Atom 54
Metropolis Speed 129
Metropolis Aethelberht 156
Metropolis Virtual 111
Metropolis Seraphina 75
Metropolis Terra 270
Cosmos Atom 278
Cosmos Speed 73
Cosmos Aethelberht 209
Cosmos Virtual 194
Cosmos Seraphina 230
Cosmos Terra 16
Atom Speed 24
Atom Aethelberht 275
Atom Virtual 205
Atom Seraphina 192
Atom Terra 13
Speed Aethelberht 210
Speed Virtual 193
Speed Seraphina 23
Speed Terra 29
Aethelberht Virtual 189
Aethelberht Seraphina 266
Aethelberht Terra 178
Virtual Seraphina 45
Virtual Terra 195
Seraphina Terra 298
